1. Please list your name and affiliation as you want them to appear. ,,,,,,,,,,,,,,,
2. Please indicate your labid if your lab submitted data.,,,,,,,,,,,,,,,
"3. For each of the contribution categories, please indicate M for moderate contribution or S for significant contribution (leave blank if no contribution). ",,,,,,,,,,,,,,,
We will alphabetize by last name after we get all contributions. ,,,,,,,,,,,,,,,
Author Last Name,Author First Name,Affiliation,labid,Grant acknowledgment(s),I CERTIFY THAT MY DATA-COLLECTION DECISIONS WERE MADE INDEPENDENT OF STUDY RESULTS.,Early Concept,Study Design,Protocol Code/Script,Documentation,Study Management,Data Collection,Data Analysis,Stage 1 Manuscript,Stage 2 Manuscript,Other (briefly describe)
Byers-Heinlein,Krista,Concordia University,irl-concordia,Natural Sciences and Engineering Research Council of Canada (402470-2011),Y,S,S,M,S,S,S,S,S,S,
Laoun-Rubenstein,Alexandra,Concordia University,irl-concordia,,Y,,,,,,S,,,,
Lew-Williams,Casey,Princeton University,babylab_princeton,,Y,,M,,,,S,,M,,
Singh,Leher,National University of Singapore,nuslab,ODPRT funds,Y,S,S,,,M,S,,S,?,
Potter,Christine E.,Princeton University,babylab_princeton,,Y,,,,,,S,,,,
Barr,Rachel,Georgetown University,elp-georgetown,NSF (BCS-1551719),Y,,M,,,,M,,M,,worked closely with my graduate student Joscelin Rocha-Hidalgo
Rocha-Hidalgo,Joscelin,Georgetown University,elp-georgetown,NSF (BCS-1551719),Y,,,,,,S,,,,
Durrant,Samantha,University of Liverpool,lll-liv,ESRC ES/L008955/1,Y,,,,,,S,,,,
Noble,Claire,University of Liverpool,lll-liv,ESRC ES/L008955/1,Y,,,,,,S,,,,
Brown,Anna,University of Liverpool,lll-liv,ESRC ES/L008955/1,Y,,,,,,S,,,,
Gonzalez-Gomez,Nayeli,Oxford Brookes University,brookes-babylab,The Leverhulme Trust (ECF-2015-009),Y,,,,,,S,,S,,
Gampe,Anja,University of Zurich,weltentdecker-zurich,,Y,,,,,,S,,,,
Liu,Liquan,Western Sydney University,wsu: kw,"Early Career Researcher Grant, Start-up Grant, Western Sydney University",Y,,,,,,S,,,,
Waddell,Connor,Western Sydney University,wsu: kw,"Early Career Researcher Grant, Start-up Grant, Western Sydney University",Y,,,,,,S,,,,
Kovács,Ágnes Melinda,Central European University,cdc-ceu,,Y,,,,,,,,,,
Hernik,Mikołaj,Central European University,cdc-ceu,"European Research Council Synergy Grant, SOMICS (609819)",Y,,,,,,S,,,,
van Renswoude,Daan,University of Amsterdam,,,,,,,,,,S,,,
Visser,Ingmar,University of Amsterdam,,,,,,,,,,M,M,,"data analysis protocol decisions, together with Daan van Renswoude, not sure whether they should go under Protocol or Stage 1 manuscript"
Jartó,Marianna,University of Hamburg,koku-hh,,Y,,,,,,S,M,,,
Liszkowski,Ulf,University of Hamburg,koku-hh,,Y,,,,,,M,,,,
Soderstrom,Melanie,University of Manitoba,bll-umanitoba,"Research Manitoba, University of Manitoba, Children's Hospital Research Institute of Manitoba",Y,,,,,,M,M,,,
Black,Alexis K.,Haskins Laboratories,,,,,,,,,,S,S,,